policy,completed_orders,total_orders,completion_rate,avg_eta,p95_eta,timeout_rate,on_time_rate,avg_rider_load,rider_load_std,rider_load_cv,active_rider_rate,rider_income_gini,merchant_exposure_gini,user_satisfaction,rider_speed_kmph,rider_service_minutes,platform_utility
Popular + Nearest,55,55,1.0,151.9436826415697,316.93232942797556,1.0,0.0,0.6833333333333333,0.8356218575940249,1.0,0.2916666666666667,0.8174055790576646,0.999731376851519,0.48,8.45813155233708,30.0,0.27004029347227215
UserOnly + MinETA,87,87,1.0,125.28648236755296,196.46067508729996,1.0,0.0,1.0916666666666666,0.464802825579478,0.6411073456268662,0.7166666666666667,0.3647245859477663,0.9907540396063427,0.8040229885057472,8.45813155233708,30.0,0.3882819066227987
Seq-Tuned + MinETA,95,95,1.0,122.27266175268569,172.89216736022584,1.0,0.0,1.175,0.4452683335797515,0.5624442108375809,0.775,0.30748750029798233,0.9892515144607192,0.7915789473684213,8.45813155233708,30.0,0.39326258858923935
LightGBM-LTR + MinETA,94,94,1.0,123.37204892955141,173.65356302179214,1.0,0.0,1.175,0.4317277948996206,0.5511418658293029,0.775,0.3019666959518377,0.9892515144607192,0.7952127659574469,8.45813155233708,30.0,0.39530127773732354
Seq-xQuAD-Tripartite,80,80,1.0,117.60982154594794,193.48141340112758,0.9875,0.012499999999999956,0.7,0.48876260995383936,0.733143914930759,0.6583333333333333,0.4434988596830511,0.9894017844150386,0.828125,8.45813155233708,30.0,0.3890565908446683
Seq-xQuAD-Tripartite-Batch,80,80,1.0,116.10129974655665,192.89383031787247,1.0,0.0,0.75,0.47140452079103173,0.7071067811865477,0.6666666666666666,0.42926761871430813,0.9894017844150386,0.828125,8.45813155233708,30.0,0.3879103042190895
Session-SPU-Tripartite,85,85,1.0,122.22821602450887,195.19188643657245,0.9882352941176471,0.0117647058823529,0.75,0.4545296714431548,0.641688947919748,0.7083333333333334,0.39066370709261744,0.9885553541749512,0.8188235294117646,8.45813155233708,30.0,0.3957830961994295
