model,Recall@10,NDCG@10,MRR@10,HitRate@10,Recall@20,NDCG@20,MRR@20,HitRate@20,Coverage@20,ExposureGini,LongTailExposure@20,CategoryJSD@20
BPR-MF,0.12688888888888888,0.09675627736959286,0.11082275132275134,0.19666666666666666,0.16199999999999998,0.10681079012394484,0.11411159006398944,0.24333333333333335,0.1349938499384994,0.951645833578094,0.05922551252847381,0.05749123127666664
LightGBM-LTR,0.4141666666666667,0.3147680590844862,0.33663756613756607,0.5733333333333334,0.4424444444444445,0.32434124624584715,0.3378003154253154,0.59,0.4345018450184502,0.7942149231781284,0.551309271054494,0.027936257882046043
Popular,0.02188888888888889,0.013524778376589141,0.01798148148148148,0.04666666666666667,0.047,0.02103707892000924,0.020904813796454664,0.09,0.006150061500615006,0.9952190189306825,0.0,0.05812153690230935
Seq-Tuned,0.4186666666666667,0.3504159258288636,0.39197089947089947,0.58,0.4675,0.36515862471089966,0.39475097056366404,0.6266666666666667,0.28843788437884377,0.892677422306067,0.43710021321961623,0.015212922618979417
Seq-xQuAD-Tripartite,0.39872222222222226,0.33793282759465026,0.3832433862433862,0.5633333333333334,0.41800000000000004,0.34390985283351533,0.38391793357428033,0.5733333333333334,0.2822878228782288,0.8934322583799384,0.43137254901960786,0.01572989252688138
UserOnly,0.3988333333333334,0.3336012600076672,0.3730489417989418,0.5466666666666666,0.4287222222222222,0.34234451763094387,0.3747211274564216,0.5733333333333334,0.28413284132841327,0.8856740408881537,0.42424242424242425,0.015591381986010304
